SiteID.Flow,SiteId.Eco,SiteId.QW,Date,Depth.M,Q.M3.S,BaseFlow.Frac,TSITE_NO,SHORT_NAME,region
3241500,3241500,3241500,20130507,0.437360056,1.50382328,0.559470188,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130513,0.55651069,3.001982441,0.406596525,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130521,0.489089341,1.939960351,0.683423082,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130606,0.4047972,1.47550269,0.559138778,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130611,0.758586754,6.542056075,0.211755894,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130619,0.543399474,2.800906259,0.730191524,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130624,0.432378055,NA,NA,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130710,0.713828919,7.30671198,0.189595393,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130716,0.427386108,1.246105919,1,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130723,0.392157464,1.008212971,0.85137494,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130730,0.35125927,0.54375531,1,T03241500,OH_Massies,MSQA
3241500,3241500,3241500,20130807,0.320114362,0.305862362,1,T03241500,OH_Massies,MSQA
3259000,3259000,3259000,20130508,0.613216104,5.77740017,0.288734288,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130514,0.510337107,3.879920702,0.607201429,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130522,0.415049944,2.520532427,0.720673447,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130605,0.348335437,1.073350326,1,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130611,0.588448494,6.343811951,0.251315549,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130620,0.368322095,1.325403568,1,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130625,0.345823552,1.005380912,1,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130711,0.570286435,4.163126593,0.68232964,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130717,0.405296138,2.783913905,0.763429548,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130724,0.715501576,8.128009063,0.238366215,T03259000,OH_Mill,MSQA
3259000,3259000,3259000,20130731,0.355852883,1.161144152,1,T03259000,OH_Mill,MSQA
