Study region	USGS station number	USGS station name	Short name	Chemical name	NWIS parameter code	CASRN	Pesticide degradate	Parent	Sample date (YYYYMMDD)	Result (ug/L)	Remark
MSQA	T03353200	EAGLE CREEK AT ZIONSVILLE, IN	IN_Eagle	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130806	2.7	DET
MSQA	T06893350	TOMAHAWK C NR OVERLAND PARK, KS	KS_Tomahawk	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130731	1.8503	DET
MSQA	T06610785	West Papillion Creek at Millard, Nebr.	NE_WPapillion	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130724	1.022	DET
MSQA	T03353200	EAGLE CREEK AT ZIONSVILLE, IN	IN_Eagle	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130730	1.6123	DET
MSQA	T391504093003301	Bear Creek nr Gilliam, MO	MO_Bear	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130731	2.2067	E
MSQA	T03351072	WILLIAMS CREEK AT 96TH STREET, INDIANAPOLIS, IN	IN_Williams	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130805	1.7328	E
MSQA	T03352875	FALL CREEK AT 16TH STREET AT INDIANAPOLIS, IN	IN_Fall	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130805	0.5924	E
MSQA	T05544989	HONEY CREEK AT CT HIGHWAY DD NEAR BURLINGTON, WI	WI_HoneyDD	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130709	0.5269	DET
MSQA	T06610785	West Papillion Creek at Millard, Nebr.	NE_WPapillion	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130710	2.8293	E
MSQA	T391504093003301	Bear Creek nr Gilliam, MO	MO_Bear	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130711	1.8534	E
MSQA	T03259000	Mill Creek at Carthage OH	OH_Mill	Desulfinylfipronil	66607	205650-65-3	Degradate	Fipronil	20130711	3.2296	E
